Date / Time,City,State,Shape,Duration,Summary,Posted
7/20/16 22:15,Springfield,MO,Fireball,5 seconds,Large ball of fire streaks over Missouri's night sky.,42573
7/19/16 21:15,Vergennes,VT,Fireball,7-10 minutes,2 bright reddish-orange fireballs seen flying in a unique flight path not seen by usual aircraft.,42573
7/18/16 00:25,Fredricksburg,VA,Fireball,4-5 minutes,"Orange circular fireballs moving across the sky. Looked like orange candle flames, surrounded by a light halo, and made no sound.",42573
7/17/16 22:00,Anaheim (NE of),CA,Fireball,30 seconds,UFO on fire.,42584
7/16/16 21:00,Gray,TN,Fireball,1 minute,"Right at dusk my 2 roommates and I were driving to our home and we saw a red light, at first we thought it may have been a towers light",42573
7/16/16 20:00,Eugene,OR,Fireball,3 seconds,Fireball seen soaring across the sky. Aircraft seen chasing it.,42573
7/13/16 21:50,Kennewick,WA,Fireball,10 minutes,"3 large silent, slow moving fiery orbs moving across the sky in an arc, one after the other in a timely manner.",42566
7/10/16 23:25,Brightwood,OR,Fireball,5 minutes,"Shimmering orange fireball seen near Brightwood, Oregon.",42566
7/10/16 22:45,Rochester,NH,Fireball,5 seconds,Green fireball shooting downward.,42566
7/10/16 21:30,Lake Zurich,IL,Fireball,5 minutes (each event),"In a 1-minute period, there were 3 fireballs heading north spced evenly apart.",42566
7/7/16 20:30,Newark,NJ,Fireball,5 minutes,"Red orange fireball traveling slowly E to W, then dropped and disappeared like it burst apart. No trail left behind it at first.",42566
7/4/16 23:30,Longmont,CO,Fireball,1 minute,I saw a large orange object slowly moving over my apartment building.,42559
7/4/16 20:00,Zephyrhills,FL,Fireball,5 minutes,"Stepped outside to witness fireworks, I noticed a orange ball off fire enetering from the north and heading south for 2 minutes.",42559
7/4/16 14:30,East Grand Forks,MN,Fireball,Seconds,"2 fire balls in Jaws as rescently reported to Peter. After the right to left after the commercial it shows the boat at a distance, fro",42559
7/3/16 23:00,Stillwater,MN,Fireball,10 minutes,"A bright orange and red craft (fireball) moved in night sky, approx 10 minute duration. Until finally disappearing into night sky.",42559
7/3/16 23:00,Parker,CO,Fireball,10-15 minutes,One golden orb moving aprx speed of a plane but a non blinking golden glow. Followed by 3 orbs same size in a triangular formation. Ano,42559
7/3/16 23:00,Newark,NJ,Fireball,5 minutes,Red floating orb for sure not craft or fireworks,42559
7/3/16 22:35,Weston,FL,Fireball,15 seconds,"We saw two bright fireballs in the sky, which later disappeared very quickly. ((anonymous report))",42566
7/3/16 01:08,Missoula,MT,Fireball,2 seconds,Blue fireball first lit up cloud then fell below the cloud towards SE. Very visible and bright with long tail and 2-3 second viewing.,42566
7/2/16 22:30,Downers Grove,IL,Fireball,3 minutes,"silent orange ball of fiery light over Downers Grove, Illinois",42559
7/2/16 22:30,Brighton,CO,Fireball,2 minutes,Myself my girlfriend and two other friends witnessed a bright Amber orb. ((anonymous report)),42559
7/2/16 21:30,Lively Grove,IL,Fireball,2 minutes,"Orange fireball heading east to west, then went upward and dissappeared.",42559
7/2/16 21:00,Blaine,TN,Fireball,3 hours,My boyfriend and l we're traveling toward Rutledge when we seen several glowing lights in the sky at first we thought maybe someone rea,42559
7/2/16 15:21,Columbia,TN,Fireball,10 minutes,I was sitting on my couch when i seen a object rising slowly into the air out of my window. Myself and 2 others went outside and watche,42559
6/30/16 22:07,Placerville,CA,Fireball,5 seconds,"Large, red/orange fireball streaked across sky at aproximately 10:07 PM, in a West to East direction. Event lasted aproximately five se",42559
6/30/16 20:00,Symsonia,KY,Fireball,30-60 seconds,Flying orange disk/ball objects side by side flying fast but a visible speed as an airplane for example.,42559
6/29/16 22:30,Schaumburg,IL,Fireball,4 minutes,There was a big light that looked like a blood moon then we realized that the object was giving off a red aura Then slowly floated away,42559
6/29/16 11:40,Tigard,OR,Fireball,20 minutes,Glowing Orange Fireball over Tigard Oregon,42559
6/27/16 00:05,Eugene,OR,Fireball,5-10 seconds,((HOAX??)) Out of the corner of my eye I seen a massive fireball falling. ((anonymous report)),42559
6/27/16,Guilford,ME,Fireball,2 minutes,"My husband and I were in our garage, and my husband caught a flash out of the corner of his eye we thought it was a meteor it wasn't w",42559
6/26/16 22:01,Pell Lake,WI,Fireball,1 minute,Orange fireball ball seen with weird smoke behind it moving at a pretty quick pace then slowing down.,42559
6/25/16 21:45,Newton Falls,OH,Fireball,1 second,1 large red orb going from N to S at approx. 9:45 p.m. on June 25th in Trumbull County Newton Falls Ohio no navigational,42559
6/24/16 21:59,Arlington,WA,Fireball,50 seconds,Slow moving fireball.,42559
6/20/16 21:00,Aberdeen,MD,Fireball,1 hour,Fireball in sky over Aberdeen.,42545
6/18/16 23:30,Cumming,GA,Fireball,4 minutes,Orange sphere/fireball in sky. ((anonymous report)),42545
6/18/16 23:13,Lake Vermilion (near tower),MN,Fireball,2 minutes,"Ball of fire/ energy crossing sky from E to W at Lake Vermilion, MN.",42545
6/18/16 22:00,Bradford,PA,Fireball,90 seconds,The object was an orange/red circle that did not move for about 60 seconds until it faded away. ((anonymous report)),42545
6/17/16 22:47,Spencerville,OH,Fireball,~20 minutes,"Several large fireballs over Ohio, near country side.",42545
